Kods,Nosaukums,Vecāka kods,Spēkā no,Spēkā līdz,Līmenis,Saistītās klasif.
21.2,Farmaceitisko preparātu ražošana,21.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
22,Gumijas un plastmasas izstrādājumu ražošana,C,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
22.1,Gumijas izstrādājumu ražošana,22,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
22.11,Gumijas riepu un to kameru ražošana; gumijas riepu protektora atjaunošana,22.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
22.12,Citu gumijas izstrādājumu ražošana,22.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
22.2,Plastmasas izstrādājumu ražošana,22,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
22.21,"Plastmasas plātņu, lokšņu, cauruļu un profilu ražošana",22.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
22.22,Plastmasas iepakojuma ražošana,22.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
22.23,Plastmasas durvju un logu ražošana,22.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
22.24,Plastmasas būvizstrādājumu ražošana,22.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
22.25,Plastmasas izstrādājumu apstrāde un apdare,22.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
22.26,Citu plastmasas izstrādājumu ražošana,22.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
23,Citu nemetālisko minerālu izstrādājumu ražošana,C,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
23.1,Stikla un stikla izstrādājumu ražošana,23,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
23.11,Lokšņu stikla ražošana,23.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
23.12,Lokšņu stikla formēšana un apstrāde,23.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
23.13,Dobu stikla izstrādājumu ražošana,23.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
23.14,Stikla šķiedras ražošana,23.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
23.15,"Citu stikla izstrādājumu ražošana, ieskaitot tehniskā stikla izstrādājumus",23.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
23.2,Ugunsizturīgu nemetālisko minerālu izstrādājumu ražošana,23,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
23.2,Ugunsizturīgu nemetālisko minerālu izstrādājumu ražošana,23.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
23.3,Māla būvmateriālu ražošana,23,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
23.31,Keramikas flīžu un plātņu ražošana,23.3,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
23.32,"Ķieģeļu, flīžu un būvmateriālu ražošana no apdedzināta māla",23.3,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
23.4,Citu porcelāna un keramikas izstrādājumu ražošana,23,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
23.41,Sadzīves un dekoratīvu keramikas izstrādājumu ražošana,23.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
23.42,Sanitārtehnisko keramikas izstrādājumu ražošana,23.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
23.43,Keramikas izolatoru un izolācijas piederumu ražošana,23.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
23.44,Citu tehnisku keramikas izstrādājumu ražošana,23.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
23.45,Citu keramikas izstrādājumu ražošana,23.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
23.5,"Cementa, kaļķa un ģipša ražošana",23,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
23.51,Cementa ražošana,23.5,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
23.52,Kaļķa un ģipša ražošana,23.5,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
23.6,"Betona, cementa un ģipša izstrādājumu ražošana",23,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
23.61,Būvniecībai paredzētu betona izstrādājumu ražošana,23.6,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
23.62,Būvniecībai paredzētu ģipša izstrādājumu ražošana,23.6,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
23.63,Gatavu betona maisījumu ražošana,23.6,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
23.64,Javu ražošana,23.6,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
23.65,Šķiedru cementa ražošana,23.6,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
23.66,"Citu betona, cementa un ģipša izstrādājumu ražošana",23.6,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
23.7,"Akmeņu griešana, apdare un apstrāde",23,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
23.7,"Akmeņu griešana, apdare un apstrāde",23.7,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
23.9,Abrazīvu izstrādājumu un citur neklasificētu nemetālisko minerālu izstrādājumu ražošana,23,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
23.91,Abrazīvu izstrādājumu ražošana,23.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
23.99,Citur neklasificētu nemetālisko minerālu izstrādājumu ražošana,23.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
24,Metālu ražošana,C,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
24.1,"Čuguna, tērauda un dzelzs sakausējumu ražošana",24,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
24.1,"Čuguna, tērauda un dzelzs sakausējumu ražošana",24.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
24.2,"Tērauda cauruļu, cauruļvadu, dobu profilu un to savienotājelementu veidgabalu ražošana",24,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
24.2,"Tērauda cauruļu, cauruļvadu, dobu profilu un to savienotājelementu veidgabalu ražošana",24.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
24.3,Citu tērauda pirmapstrādes izstrādājumu ražošana,24,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
24.31,Stieņu aukstā stiepšana,24.3,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
24.32,Šauru slokšņu aukstā velmēšana,24.3,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
24.33,Aukstā formēšana vai locīšana,24.3,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
24.34,Stiepļu aukstā stiepšana,24.3,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
24.4,Cēlmetālu un citu krāsaino metālu ražošana,24,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
24.41,Cēlmetālu ražošana,24.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
24.42,Alumīnija ražošana,24.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
24.43,"Svina, cinka un alvas ražošana",24.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
24.44,Vara ražošana,24.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
24.45,Citu krāsaino metālu ražošana,24.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
24.46,Kodoldegvielas ražošana,24.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
24.5,Metālu liešana,24,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
24.51,Čuguna liešana,24.5,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
24.52,Tērauda liešana,24.5,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
24.53,Vieglo metālu liešana,24.5,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
24.54,Citu krāsaino metālu liešana,24.5,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
25,"Gatavu metālizstrādājumu ražošana, izņemot mašīnas un iekārtas",C,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
25.1,Metāla konstrukciju ražošana,25,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
25.11,Metāla konstrukciju un to daļu ražošana,25.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
25.12,Metāla durvju un logu ražošana,25.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
25.2,"Metāla cisternu, rezervuāru un tilpņu ražošana",25,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
25.21,"Centrālapkures radiatoru, tvaika ģeneratoru un katlu ražošana",25.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
25.22,"Citu metāla cisternu, rezervuāru un tilpņu ražošana",25.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
25.3,Ieroču un munīcijas ražošana,25,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
25.3,Ieroču un munīcijas ražošana,25.3,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
25.4,Metāla kalšana un veidošana; pulvermetalurģija,25,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
25.4,Metāla kalšana un veidošana; pulvermetalurģija,25.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
25.5,Metālu virsmas apstrāde un pārklāšana; mehāniska apstrāde,25,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
25.51,Metālu virsmas pārklāšana,25.5,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
25.52,Metālu termiska apstrāde,25.5,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
25.53,Metālu mehāniska apstrāde,25.5,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
25.6,"Galda piederumu, darbarīku un metāla izstrādājumu ražošana",25,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
25.61,Galda piederumu ražošana,25.6,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
25.62,Slēdzeņu un eņģu ražošana,25.6,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
25.63,Darbarīku ražošana,25.6,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
25.9,Citu gatavu metāla izstrādājumu ražošana,25,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
25.91,Tērauda tvertņu un līdzīgu rezervuāru ražošana,25.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
25.92,Vieglā metāla iepakojuma ražošana,25.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
25.93,"Stiepļu izstrādājumu, ķēžu un atsperu ražošana",25.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
25.94,"Skrūvju, stiprinājumu un skrūvju mehānismu izstrādājumu ražošana",25.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
25.99,Citur neklasificētu gatavu metālizstrādājumu ražošana,25.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
26,"Datoru, elektronisko un optisko iekārtu ražošana",C,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
26.1,Elektronisko komponentu un plašu ražošana,26,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
26.11,Elektronisko komponentu ražošana,26.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
26.12,Iespiedshēmas plašu ražošana,26.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
26.2,Datoru un perifēro iekārtu ražošana,26,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
26.2,Datoru un perifēro iekārtu ražošana,26.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
26.3,Sakaru iekārtu ražošana,26,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
26.3,Sakaru iekārtu ražošana,26.3,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
26.4,Plaša patēriņa elektronikas ražošana,26,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
26.4,Plaša patēriņa elektronikas ražošana,26.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
26.5,"Mērīšanas, pārbaudes instrumentu un pulksteņu ražošana",26,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
26.51,"Mērīšanas, pārbaudes, izmēģināšanas un navigācijas instrumentu un aparātu ražošana",26.5,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
26.52,Pulksteņu ražošana,26.5,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
26.6,"Apstarošanas, elektromedicīnas un elektroterapijas iekārtu ražošana",26,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
26.6,"Apstarošanas, elektromedicīnas un elektroterapijas iekārtu ražošana",26.6,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
26.7,"Optisko instrumentu, magnētisku un optisku datu nesēju un fotoiekārtu ražošana",26,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
26.7,"Optisko instrumentu, magnētisku un optisku datu nesēju un fotoiekārtu ražošana",26.7,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
27,Elektroiekārtu ražošana,C,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
27.1,"Elektromotoru, ģeneratoru, transformatoru un elektrības sadales un kontroles iekārtu ražošana",27,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
27.11,"Elektromotoru, ģeneratoru un transformatoru ražošana",27.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
27.12,Elektrības sadales un kontroles iekārtu ražošana,27.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
27.2,Bateriju un akumulatoru ražošana,27,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
27.2,Bateriju un akumulatoru ražošana,27.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
27.3,Vadu un elektroinstalāciju ierīču ražošana,27,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
27.31,Optisko šķiedru kabeļu ražošana,27.3,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
27.32,Citu elektronisko un elektrisko vadu un kabeļu ražošana,27.3,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
27.33,Elektroinstalāciju ierīču ražošana,27.3,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
27.4,Apgaismes ierīču ražošana,27,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
27.4,Apgaismes ierīču ražošana,27.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
27.5,Mājsaimniecības ierīču ražošana,27,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
27.51,Elektrisku mājsaimniecības ierīču ražošana,27.5,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
27.52,Neelektrisku mājsaimniecības ierīču ražošana,27.5,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
27.9,Citu elektroiekārtu ražošana,27,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
27.9,Citu elektroiekārtu ražošana,27.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
28,Citur neklasificētu mašīnu un iekārtu ražošana,C,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
28.1,Universālu iekārtu ražošana,28,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
28.11,"Dzinēju un turbīnu ražošana, izņemot lidaparātu un transportlīdzekļu dzinējus",28.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
28.12,Hidraulisko iekārtu ražošana,28.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
28.13,Citu sūkņu un kompresoru ražošana,28.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
28.14,"Citu krānu, ventiļu un vārstu ražošana",28.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
28.15,"Gultņu, zobratu, pārnesumu un piedziņas elementu ražošana",28.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
28.2,Citu universālu iekārtu ražošana,28,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
28.21,"Kurtuvju, krāšņu un pastāvīgu mājsaimniecības apkures iekārtu ražošana",28.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
28.22,Pacelšanas un pārvietošanas iekārtu ražošana,28.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
28.23,Biroju iekārtu un aprīkojuma ražošana (izņemot datorus un perifērās iekārtas),28.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
28.24,Mehāniskās piedziņas rokas darbarīku ražošana,28.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
28.25,Rūpniecisku gaisa kondicionēšanas iekārtu ražošana,28.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
28.29,Citur neklasificētu universālu iekārtu ražošana,28.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
28.3,Lauksaimniecības un mežsaimniecības mašīnu ražošana,28,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
28.3,Lauksaimniecības un mežsaimniecības mašīnu ražošana,28.3,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
28.4,Metālapstrādes mašīnu un darbgaldu ražošana,28,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
28.41,Metāla formēšanas mašīnu un metālapstrādes darbgaldu ražošana,28.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
28.42,Citu darbgaldu ražošana,28.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
28.9,Citu speciālo iekārtu un mašīnu ražošana,28,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
28.91,Mašīnu ražošana metalurģijai,28.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
28.92,"Mašīnu ražošana ieguves rūpniecībai, karjeru izstrādei un būvniecībai",28.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
28.93,"Mašīnu ražošana pārtikas, dzērienu un tabakas pārstrādei",28.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
28.94,"Mašīnu ražošana tekstilizstrādājumu, apģērbu un ādas izstrādājumu ražošanai",28.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
28.95,Mašīnu ražošana papīra un kartona izgatavošanai,28.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
28.96,Mašīnu ražošana plastmasas un gumijas apstrādei,28.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
28.97,Aditīvās ražošanas mašīnu ražošana,28.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
28.99,Citur neklasificētu speciālo iekārtu un mašīnu ražošana,28.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
29,"Mehānisko transportlīdzekļu, piekabju un puspiekabju ražošana",C,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
29.1,Mehānisko transportlīdzekļu ražošana,29,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
29.1,Mehānisko transportlīdzekļu ražošana,29.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
29.2,Mehānisko transportlīdzekļu virsbūvju ražošana; piekabju un puspiekabju ražošana,29,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
29.2,Mehānisko transportlīdzekļu virsbūvju ražošana; piekabju un puspiekabju ražošana,29.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
29.3,Mehānisko transportlīdzekļu daļu un piederumu ražošana,29,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
29.31,Mehānisko transportlīdzekļu elektrisko un elektronisko iekārtu ražošana,29.3,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
29.32,Citu mehānisko transportlīdzekļu daļu un piederumu ražošana,29.3,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
30,Citu transportlīdzekļu ražošana,C,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
30.1,Kuģu un laivu būve,30,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
30.11,Civilo kuģu un peldošu iekārtu būve,30.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
30.12,Atpūtas un sporta laivu būve,30.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
30.13,Militāro kuģu un kuģošanas līdzekļu būve,30.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
30.2,Dzelzceļa lokomotīvju un ritošā sastāva ražošana,30,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
30.2,Dzelzceļa lokomotīvju un ritošā sastāva ražošana,30.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
30.3,Gaisa kuģu un kosmisko aparātu un ar tiem saistītu iekārtu ražošana,30,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
30.31,Civilo gaisa kuģu un kosmisko aparātu un ar tiem saistītu iekārtu ražošana,30.3,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
30.32,Militāro gaisa kuģu un kosmisko aparātu un ar tiem saistītu iekārtu ražošana,30.3,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
30.4,Militāro kaujas transportlīdzekļu ražošana,30,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
30.4,Militāro kaujas transportlīdzekļu ražošana,30.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
30.9,Citur neklasificētu transportlīdzekļu ražošana,30,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
30.91,Motociklu ražošana,30.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
30.92,Velosipēdu un invalīdu ratiņu ražošana,30.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
30.99,Citu citur neklasificētu transportlīdzekļu ražošana,30.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
31,Mēbeļu ražošana,C,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
31,Mēbeļu ražošana,31,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
31,Mēbeļu ražošana,31,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
32,Cita ražošana,C,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
32.1,"Juvelierizstrādājumu, bižutērijas un līdzīgu izstrādājumu ražošana",32,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
32.11,Monētu kalšana,32.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
32.12,Juvelierizstrādājumu un līdzīgu izstrādājumu ražošana,32.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
32.13,Bižutērijas un līdzīgu izstrādājumu ražošana,32.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
32.2,Mūzikas instrumentu ražošana,32,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
32.2,Mūzikas instrumentu ražošana,32.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
32.3,Sporta preču ražošana,32,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
32.3,Sporta preču ražošana,32.3,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
32.4,Spēļu un rotaļlietu ražošana,32,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
32.4,Spēļu un rotaļlietu ražošana,32.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
32.5,Medicīnas un zobārstniecības instrumentu un piederumu ražošana,32,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
32.5,Medicīnas un zobārstniecības instrumentu un piederumu ražošana,32.5,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
32.9,Citur neklasificēta ražošana,32,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
32.91,Slotu un suku ražošana,32.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
32.99,Citur neklasificēta ražošana,32.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
33,"Iekārtu un ierīču remonts, apkope un uzstādīšana",C,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
33.1,"Gatavu metāla izstrādājumu, mašīnu un iekārtu remonts un apkope",33,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
33.11,Gatavu metāla izstrādājumu remonts un apkope,33.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
33.12,Mašīnu un iekārtu remonts un apkope,33.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
33.13,Elektronisko un optisko iekārtu remonts un apkope,33.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
33.14,Elektroiekārtu remonts un apkope,33.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
33.15,Civilo kuģu un laivu remonts un apkope,33.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
33.16,Civilo gaisa kuģu un kosmisko aparātu remonts un apkope,33.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
33.17,Citu civilo transportlīdzekļu remonts un apkope,33.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
33.18,"Militāro kaujas transportlīdzekļu, kuģu, laivu, gaisa kuģu un kosmisko aparātu remonts un apkope",33.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
33.19,Citu iekārtu remonts un apkope,33.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
33.2,Ražošanas iekārtu un ierīču uzstādīšana,33,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
33.2,Ražošanas iekārtu un ierīču uzstādīšana,33.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
D,"ELEKTROENERĢIJA, GĀZES APGĀDE, SILTUMAPGĀDE UN GAISA KONDICIONĒŠANA",,01.01.2025,,1,NACE2 Vecā versija <-> Jaunā versija
35,"Elektroenerģija, gāzes apgāde, siltumapgāde un gaisa kondicionēšana",D,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
35.1,"Elektroenerģijas ražošana, pārvade un sadale",35,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
35.11,Elektroenerģijas ražošana no neatjaunojamiem resursiem,35.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
35.12,Elektroenerģijas ražošana no atjaunojamiem resursiem,35.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
35.13,Elektroenerģijas pārvade,35.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
35.14,Elektroenerģijas sadale,35.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
35.15,Elektroenerģijas tirdzniecība,35.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
35.16,Elektroenerģijas uzkrāšana,35.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
35.2,Gāzes ražošana un gāzveida kurināmā sadale pa cauruļvadiem,35,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
35.21,Gāzes ražošana,35.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
35.22,Gāzveida kurināmā sadale pa cauruļvadiem,35.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
35.23,Gāzes tirdzniecība pa cauruļvadiem,35.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
